project;filename;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
binarySearchTree1;binarySearchTree1.py;0.00;82.14;82.05;65.38;68.18;91.67;79.41;92.86;95.45;0.00;92.31;100.00;0.00;0.00;81.58;80.00
binarySearchTree2;binarySearchTree2.py;0.00;73.91;87.10;63.64;36.84;71.43;73.33;50.00;81.48;0.00;75.00;80.00;0.00;0.00;75.86;56.00
binarySearchTree3;binarySearchTree3.py;0.00;68.00;48.00;60.71;63.89;65.52;70.37;58.33;66.67;0.00;76.19;73.33;0.00;0.00;61.11;75.00
binarySearchTree4;binarySearchTree4.py;0.00;95.24;95.24;100.00;94.12;90.00;100.00;100.00;100.00;0.00;93.75;94.44;0.00;0.00;88.89;95.00
identifier1;identifier1.py;0.00;82.35;76.67;80.65;73.91;84.62;90.32;83.87;89.66;0.00;85.29;83.33;0.00;0.00;87.88;77.27
linkedList1;linkedList1.py;0.00;72.73;78.79;59.09;52.63;95.83;85.00;76.92;88.00;0.00;90.48;95.24;0.00;0.00;74.07;81.25
linkedList2;linkedList2.py;0.00;80.77;76.92;93.94;90.91;93.33;92.86;87.50;82.76;0.00;75.00;79.31;0.00;0.00;86.21;95.24
linkedList3;linkedList3.py;0.00;56.25;35.71;50.00;76.00;50.00;54.55;62.96;66.67;0.00;75.00;36.36;0.00;0.00;55.56;66.67
linkedList4;linkedList4.py;0.00;68.75;81.48;63.33;79.41;42.31;78.95;73.33;85.19;0.00;83.33;84.85;0.00;0.00;90.00;66.67
linkedList5;linkedList5.py;0.00;66.67;82.35;75.00;66.67;88.24;100.00;95.65;93.55;0.00;70.00;96.00;0.00;0.00;89.47;70.59
queue1;queue1.py;0.00;70.00;55.00;57.89;61.11;72.22;65.00;61.11;50.00;0.00;72.22;65.00;0.00;0.00;90.00;80.95
queue2;queue2.py;0.00;78.26;72.73;75.00;56.00;63.64;82.76;88.89;96.67;0.00;72.73;90.48;0.00;0.00;73.91;68.42
queue3;queue3.py;0.00;77.42;47.83;50.00;66.67;50.00;80.00;78.57;37.93;0.00;77.27;58.82;0.00;0.00;64.29;59.09
queue4;queue4.py;0.00;76.19;90.48;62.50;36.84;73.91;61.11;77.78;84.00;0.00;80.00;95.65;0.00;0.00;77.27;67.86
queue5;queue5.py;0.00;100.00;90.48;68.42;94.44;72.22;85.71;95.24;100.00;0.00;85.71;93.75;0.00;0.00;70.00;90.91
sort1;sort1.py;0.00;40.54;10.34;26.47;30.00;16.00;50.00;41.03;31.03;0.00;53.85;32.43;0.00;0.00;30.00;40.00
stack1;stack1.py;0.00;60.71;56.00;33.33;46.43;52.00;51.52;59.09;65.22;0.00;81.82;58.33;0.00;0.00;34.38;95.00
stack2;stack2.py;0.00;84.62;84.62;84.62;84.62;84.62;84.62;84.62;84.62;0.00;84.62;84.62;0.00;0.00;84.62;84.62
stack3;stack3.py;0.00;63.33;45.16;57.69;66.67;53.12;48.00;75.86;64.29;0.00;63.33;63.64;0.00;0.00;70.97;69.57
stack4;stack4.py;0.00;64.00;65.38;48.00;55.56;68.97;44.00;75.00;75.00;0.00;64.29;63.64;0.00;0.00;76.00;75.76
stack5;stack5.py;0.00;58.82;52.94;50.00;58.82;47.06;47.06;47.06;58.82;0.00;58.82;50.00;0.00;0.00;47.06;47.06
