project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;211;211;0;100.00
binarySearchTree2;binarySearchTree2.py;214;214;0;100.00
binarySearchTree3;binarySearchTree3.py;291;168;123;57.73
binarySearchTree4;binarySearchTree4.py;18;17;1;94.44
identifier1;identifier1.py;140;102;38;72.86
linkedList1;linkedList1.py;146;114;32;78.08
linkedList2;linkedList2.py;44;38;6;86.36
linkedList3;linkedList3.py;54;50;4;92.59
linkedList4;linkedList4.py;72;72;0;100.00
linkedList5;linkedList5.py;74;69;5;93.24
queue1;queue1.py;14;14;0;100.00
queue2;queue2.py;62;51;11;82.26
queue3;queue3.py;91;90;1;98.90
queue4;queue4.py;112;74;38;66.07
queue5;queue5.py;16;13;3;81.25
sort1;sort1.py;185;55;130;29.73
stack1;stack1.py;114;34;80;29.82
stack2;stack2.py;19;18;1;94.74
stack3;stack3.py;70;64;6;91.43
stack4;stack4.py;72;72;0;100.00
stack5;stack5.py;5;4;1;80.00
