project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;105.88;100.36;5.93
binarySearchTree2;binarySearchTree2.py;99.11;93.97;5.18
binarySearchTree3;binarySearchTree3.py;200.73;192.38;9.41
binarySearchTree4;binarySearchTree4.py;6.65;6.21;0.42
identifier1;identifier1.py;98.91;35.68;2.95
linkedList1;linkedList1.py;95.86;91.75;4.24
linkedList2;linkedList2.py;17.65;16.58;1.09
linkedList3;linkedList3.py;448.22;16.69;1.57
linkedList4;linkedList4.py;31.58;28.49;2.31
linkedList5;linkedList5.py;78.18;75.88;2.60
queue1;queue1.py;5.32;4.87;0.44
queue2;queue2.py;42.37;35.32;3.81
queue3;queue3.py;41.32;39.15;2.20
queue4;queue4.py;50.52;47.82;2.81
queue5;queue5.py;5.24;4.84;0.39
sort1;sort1.py;629.15;82.78;5.79
stack1;stack1.py;70.50;65.97;4.12
stack2;stack2.py;9.68;8.88;0.75
stack3;stack3.py;535.36;44.16;3.39
stack4;stack4.py;63.98;57.39;3.56
stack5;stack5.py;3.92;3.65;0.25
