project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;129.53;123.78;6.18
binarySearchTree2;binarySearchTree2.py;111.20;106.20;4.95
binarySearchTree3;binarySearchTree3.py;217.02;208.67;9.28
binarySearchTree4;binarySearchTree4.py;6.91;6.46;0.43
identifier1;identifier1.py;99.88;36.71;3.03
linkedList1;linkedList1.py;104.49;100.64;4.12
linkedList2;linkedList2.py;19.07;17.92;1.16
linkedList3;linkedList3.py;381.60;19.11;1.34
linkedList4;linkedList4.py;38.58;31.21;3.21
linkedList5;linkedList5.py;95.12;92.66;2.72
queue1;queue1.py;5.95;5.53;0.42
queue2;queue2.py;45.84;41.55;3.19
queue3;queue3.py;50.53;47.83;2.75
queue4;queue4.py;56.85;53.91;3.02
queue5;queue5.py;5.84;5.32;0.49
sort1;sort1.py;631.81;85.00;5.70
stack1;stack1.py;92.22;80.59;5.11
stack2;stack2.py;14.88;12.07;0.90
stack3;stack3.py;641.37;48.47;6.13
stack4;stack4.py;83.64;62.35;4.89
stack5;stack5.py;5.12;4.07;0.32
