project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;907.84;286.33;11.34
binarySearchTree2;binarySearchTree2.py;731.31;229.10;9.17
binarySearchTree3;binarySearchTree3.py;1466.13;459.60;17.18
binarySearchTree4;binarySearchTree4.py;46.23;14.05;0.79
identifier1;identifier1.py;326.41;82.43;5.53
linkedList1;linkedList1.py;710.73;219.20;7.25
linkedList2;linkedList2.py;130.78;39.40;2.09
linkedList3;linkedList3.py;241.40;34.48;1.97
linkedList4;linkedList4.py;192.90;56.12;3.28
linkedList5;linkedList5.py;588.33;178.63;6.00
queue1;queue1.py;30.78;8.97;0.48
queue2;queue2.py;253.91;78.99;2.92
queue3;queue3.py;373.16;86.18;5.78
queue4;queue4.py;326.34;101.93;4.93
queue5;queue5.py;32.79;9.86;0.64
sort1;sort1.py;883.98;96.65;6.06
stack1;stack1.py;271.00;70.04;3.75
stack2;stack2.py;42.63;10.34;0.74
stack3;stack3.py;690.39;43.75;4.09
stack4;stack4.py;245.45;55.85;4.45
stack5;stack5.py;16.03;3.65;0.24
