project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;80.44;75.47;4.64
binarySearchTree2;binarySearchTree2.py;71.63;66.59;4.56
binarySearchTree3;binarySearchTree3.py;134.21;126.56;7.52
binarySearchTree4;binarySearchTree4.py;5.84;5.39;0.40
identifier1;identifier1.py;96.56;33.11;3.13
linkedList1;linkedList1.py;66.79;62.83;3.78
linkedList2;linkedList2.py;14.27;13.13;1.03
linkedList3;linkedList3.py;135.68;14.22;1.19
linkedList4;linkedList4.py;29.45;24.25;2.91
linkedList5;linkedList5.py;47.89;45.61;2.23
queue1;queue1.py;4.67;4.31;0.33
queue2;queue2.py;28.78;26.96;1.76
queue3;queue3.py;33.14;30.77;2.17
queue4;queue4.py;41.79;37.63;2.96
queue5;queue5.py;5.03;4.50;0.48
sort1;sort1.py;615.37;69.59;4.73
stack1;stack1.py;62.89;57.52;3.74
stack2;stack2.py;10.58;9.75;0.69
stack3;stack3.py;536.56;35.10;3.05
stack4;stack4.py;55.24;41.68;2.63
stack5;stack5.py;6.78;3.43;0.68
