project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;113.33;107.57;6.18
binarySearchTree2;binarySearchTree2.py;104.03;98.70;5.31
binarySearchTree3;binarySearchTree3.py;197.19;189.34;8.83
binarySearchTree4;binarySearchTree4.py;6.46;5.96;0.48
identifier1;identifier1.py;98.34;35.14;2.94
linkedList1;linkedList1.py;89.20;85.61;3.90
linkedList2;linkedList2.py;17.99;16.96;1.04
linkedList3;linkedList3.py;438.97;16.20;1.34
linkedList4;linkedList4.py;34.15;29.62;2.92
linkedList5;linkedList5.py;87.36;85.03;2.61
queue1;queue1.py;5.63;5.24;0.38
queue2;queue2.py;39.93;36.63;2.25
queue3;queue3.py;46.34;43.92;2.50
queue4;queue4.py;53.10;50.42;2.83
queue5;queue5.py;5.08;4.74;0.31
sort1;sort1.py;626.35;80.18;5.47
stack1;stack1.py;72.37;67.72;4.26
stack2;stack2.py;11.53;10.68;0.80
stack3;stack3.py;528.82;42.34;2.81
stack4;stack4.py;66.70;57.17;4.05
stack5;stack5.py;3.83;3.56;0.25
