project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;115.80;106.27;6.76
binarySearchTree2;binarySearchTree2.py;125.14;117.04;7.04
binarySearchTree3;binarySearchTree3.py;247.84;231.75;12.46
binarySearchTree4;binarySearchTree4.py;10.34;9.53;0.76
identifier1;identifier1.py;132.23;66.76;4.98
linkedList1;linkedList1.py;106.04;99.96;5.35
linkedList2;linkedList2.py;19.46;17.93;1.40
linkedList3;linkedList3.py;209.17;24.46;1.65
linkedList4;linkedList4.py;63.20;41.06;3.08
linkedList5;linkedList5.py;97.65;80.87;3.19
queue1;queue1.py;11.33;8.10;0.54
queue2;queue2.py;47.04;42.77;2.64
queue3;queue3.py;57.26;52.75;3.11
queue4;queue4.py;77.59;72.18;4.43
queue5;queue5.py;9.34;8.48;0.62
sort1;sort1.py;664.27;82.03;5.49
stack1;stack1.py;97.66;55.88;3.36
stack2;stack2.py;17.74;9.50;0.58
stack3;stack3.py;246.18;34.31;1.98
stack4;stack4.py;81.44;40.80;2.79
stack5;stack5.py;7.40;3.25;0.24
