project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;99.09;93.43;5.67
binarySearchTree2;binarySearchTree2.py;92.11;87.02;4.88
binarySearchTree3;binarySearchTree3.py;162.82;154.89;8.16
binarySearchTree4;binarySearchTree4.py;5.69;5.27;0.37
identifier1;identifier1.py;96.56;33.52;2.77
linkedList1;linkedList1.py;74.86;71.19;3.71
linkedList2;linkedList2.py;15.93;14.86;1.02
linkedList3;linkedList3.py;386.33;15.12;2.34
linkedList4;linkedList4.py;27.12;25.42;1.64
linkedList5;linkedList5.py;70.29;67.82;2.46
queue1;queue1.py;5.18;4.77;0.38
queue2;queue2.py;31.69;30.16;1.54
queue3;queue3.py;43.17;40.82;2.29
queue4;queue4.py;47.27;44.55;2.71
queue5;queue5.py;5.17;4.76;0.39
sort1;sort1.py;621.86;75.76;5.19
stack1;stack1.py;73.73;68.84;4.12
stack2;stack2.py;10.26;9.39;0.78
stack3;stack3.py;539.28;40.18;3.81
stack4;stack4.py;57.04;49.47;3.67
stack5;stack5.py;3.25;3.03;0.20
