project;filename;real;user;sys
binarySearchTree1;binarySearchTree1.py;244.11;129.18;8.19
binarySearchTree2;binarySearchTree2.py;246.09;140.94;7.32
binarySearchTree3;binarySearchTree3.py;408.38;225.57;13.91
binarySearchTree4;binarySearchTree4.py;18.51;10.28;0.60
identifier1;identifier1.py;173.45;64.98;4.33
linkedList1;linkedList1.py;179.59;101.34;5.31
linkedList2;linkedList2.py;45.53;25.09;1.56
linkedList3;linkedList3.py;423.42;26.24;2.52
linkedList4;linkedList4.py;106.00;39.33;5.78
linkedList5;linkedList5.py;144.54;66.29;4.01
queue1;queue1.py;16.67;8.74;0.56
queue2;queue2.py;72.70;37.50;2.19
queue3;queue3.py;123.03;61.14;3.99
queue4;queue4.py;121.64;65.60;3.93
queue5;queue5.py;18.13;9.09;0.51
sort1;sort1.py;725.31;81.71;5.53
stack1;stack1.py;149.86;58.94;3.56
stack2;stack2.py;27.90;9.79;0.72
stack3;stack3.py;594.28;31.95;4.05
stack4;stack4.py;129.49;38.16;5.04
stack5;stack5.py;9.74;3.37;0.24
